TimeStamp	right	total	percentage
-2.5	36.0	55.0	0.6545454545454545
-3.5	19.0	46.0	0.41304347826086957
-1.5	44.0	63.0	0.6984126984126984
-0.5	45.0	50.0	0.9
0.5	42.0	50.0	0.84
1.5	51.0	60.0	0.85
2.5	52.0	56.0	0.9285714285714286
3.5	45.0	48.0	0.9375
4.5	44.0	49.0	0.8979591836734694
5.5	28.0	30.0	0.9333333333333333
-6.5	0	1	0.0
11.5	1	1	1.0
6.5	3.0	3.0	1.0
-5.5	0.0	2.0	0.0
-4.5	4.0	15.0	0.26666666666666666
12.5	1	1	1.0
24.5	1	1	1.0
13.5	0	1	0.0
8.5	2	2	1.0
7.5	2	3	0.6666666666666666
9.5	1	1	1.0
