

0	start	0	21.44
1	0	3512	0	True
2	0	6568	1	False
3	0	9501	2	False
4	0	12756	3	True
5	0	16558	4	True
6	0	19957	5	True
7	0	23503	6	True
8	0	27347	7	True
9	0	30936	8	True
10	0	33971	9	True
11	0	37593	10	True
12	0	40955	11	True
13	0	44526	11	True
14	0	48215	11	True
15	0	51959	11	True
16	0	55672	11	True
17	0	59616	11	False
18	0	63719	11	True

