Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 180 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 5 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
114	106450	157105	0	ShowTarget	0.00	1
115	106977	157612	0	ErrorOccurred	0.00	1
116	108991	159544	0	ErrorReturn	0.00	1
117	110442	160938	0	MoveTarget	0.00	1
118	110456	160951	0	ShowTarget	0.00	1
119	111289	161751	0	head_stop	0.00	0
120	112359	162778	0	ShowTarget	0.00	1
121	114200	164545	0	MoveTarget	0.00	1
122	114213	164558	0	ShowTarget	0.00	1
123	115096	165405	0	head_stop	0.00	0
124	116089	166358	0	ShowTarget	0.00	1
125	118138	168325	0	MoveTarget	0.00	1
126	118151	168338	0	ShowTarget	0.00	1
127	118999	169152	0	head_stop	0.00	0
128	119999	170112	0	ShowTarget	0.00	1
129	122512	172525	0	MoveTarget	0.00	1
130	122527	172538	0	ShowTarget	0.00	1
131	123423	173398	0	head_stop	0.00	0
132	125478	175371	0	ShowTarget	0.00	1
133	127610	177418	0	MoveTarget	0.00	1
134	127624	177431	0	ShowTarget	0.00	1
135	128458	178231	0	head_stop	0.00	0
136	129645	179371	0	ShowTarget	0.00	1
137	131583	181232	0	MoveTarget	0.00	1
138	131597	181245	0	ShowTarget	0.00	1
139	132485	182098	0	head_stop	0.00	0
140	133452	183025	0	ShowTarget	0.00	1
141	136160	185626	0	MoveTarget	0.00	1
142	136173	185638	0	ShowTarget	0.00	1
143	137104	186531	0	head_stop	0.00	0
144	138111	187498	0	ShowTarget	0.00	1
145	140680	189964	0	MoveTarget	0.00	1
146	140694	189978	0	ShowTarget	0.00	1
147	141674	190918	0	head_stop	0.00	0
148	142868	192064	0	ShowTarget	0.00	1
149	144903	194018	0	MoveTarget	0.00	1
150	144917	194031	0	ShowTarget	0.00	1
151	146285	195344	0	head_stop	0.00	0
152	147292	196311	0	ShowTarget	0.00	1
153	149716	198638	0	MoveTarget	0.00	1
154	149736	198658	0	ShowTarget	0.00	1
155	150674	199558	0	head_stop	0.00	0
156	151820	200658	0	ShowTarget	0.00	1
157	153966	202718	0	MoveTarget	0.00	1
158	153980	202731	0	ShowTarget	0.00	1
159	154924	203637	0	head_stop	0.00	0
160	158003	206593	0	ShowTarget	0.00	1

