DelayTimeFromStop	Right	Total	Percent
-2.5	4	9	0.4444444444444444
-3.5	2	8	0.25
-1.5	3	9	0.3333333333333333
-0.5	7	8	0.875
0.5	6	9	0.6666666666666666
1.5	8	10	0.8
2.5	10	10	1.0
3.5	8	9	0.8888888888888888
4.5	9	9	1.0
5.5	9	9	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-3.5	2	4	0.5
-2.5	3	5	0.6
-1.5	0	3	0.0
-0.5	5	6	0.8333333333333334
0.5	2	3	0.6666666666666666
1.5	5	6	0.8333333333333334
2.5	4	4	1.0
3.5	4	5	0.8
4.5	4	4	1.0
5.5	5	5	1.0

DelayTimeFromStopRight	Right	Total	Percent
-2.5	1	4	0.25
-3.5	0	4	0.0
-1.5	3	6	0.5
-0.5	2	2	1.0
0.5	4	6	0.6666666666666666
1.5	3	4	0.75
2.5	6	6	1.0
3.5	4	4	1.0
4.5	5	5	1.0
5.5	4	4	1.0
