DelayTimeFromStop	Right	Total	Percent
-6.5	0	1	0.0
-3.5	0	5	0.0
-2.5	4	7	0.5714285714285714
-1.5	6	11	0.5454545454545454
4.5	10	14	0.7142857142857143
1.5	5	10	0.5
-0.5	8	9	0.8888888888888888
0.5	5	8	0.625
2.5	6	7	0.8571428571428571
3.5	5	6	0.8333333333333334
11.5	1	1	1.0
5.5	6	8	0.75
6.5	2	2	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-6.5	0	1	0.0
-3.5	0	3	0.0
-2.5	3	4	0.75
4.5	4	8	0.5
1.5	4	7	0.5714285714285714
-1.5	2	5	0.4
-0.5	4	4	1.0
0.5	2	4	0.5
3.5	2	2	1.0
2.5	2	3	0.6666666666666666
11.5	1	1	1.0
5.5	4	5	0.8

DelayTimeFromStopRight	Right	Total	Percent
-3.5	0	2	0.0
-2.5	1	3	0.3333333333333333
-1.5	4	6	0.6666666666666666
-0.5	4	5	0.8
0.5	3	4	0.75
1.5	1	3	0.3333333333333333
2.5	4	4	1.0
3.5	3	4	0.75
4.5	6	6	1.0
5.5	2	3	0.6666666666666666
6.5	2	2	1.0
