DelayTimeFromStop	Right	Total	Percent
-4.5	2	4	0.5
-3.5	7	8	0.875
-2.5	9	9	1.0
-1.5	5	7	0.7142857142857143
-0.5	12	12	1.0
0.5	5	5	1.0
1.5	8	9	0.8888888888888888
2.5	6	6	1.0
3.5	6	6	1.0
4.5	16	16	1.0
5.5	5	6	0.8333333333333334
6.5	2	2	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-4.5	0	2	0.0
-3.5	1	2	0.5
-2.5	7	7	1.0
-1.5	1	1	1.0
-0.5	7	7	1.0
0.5	3	3	1.0
1.5	4	5	0.8
2.5	2	2	1.0
3.5	3	3	1.0
4.5	8	8	1.0
5.5	4	5	0.8

DelayTimeFromStopRight	Right	Total	Percent
-4.5	2	2	1.0
-3.5	6	6	1.0
-2.5	2	2	1.0
-1.5	4	6	0.6666666666666666
-0.5	5	5	1.0
0.5	2	2	1.0
1.5	4	4	1.0
2.5	4	4	1.0
3.5	3	3	1.0
4.5	8	8	1.0
6.5	2	2	1.0
5.5	1	1	1.0
