DelayTimeFromStop	Right	Total	Percent
-3.5	8	13	0.6153846153846154
-4.5	0	6	0.0
-2.5	8	12	0.6666666666666666
-1.5	8	11	0.7272727272727273
-0.5	7	7	1.0
0.5	7	7	1.0
5.5	1	1	1.0
1.5	10	11	0.9090909090909091
2.5	10	11	0.9090909090909091
3.5	3	3	1.0
4.5	8	8	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-3.5	4	6	0.6666666666666666
-4.5	0	3	0.0
-2.5	2	5	0.4
-1.5	6	6	1.0
-0.5	4	4	1.0
0.5	3	3	1.0
1.5	5	6	0.8333333333333334
2.5	4	5	0.8
3.5	2	2	1.0
4.5	5	5	1.0

DelayTimeFromStopRight	Right	Total	Percent
-3.5	4	7	0.5714285714285714
-4.5	0	3	0.0
-2.5	6	7	0.8571428571428571
-1.5	2	5	0.4
-0.5	3	3	1.0
0.5	4	4	1.0
5.5	1	1	1.0
1.5	5	5	1.0
2.5	6	6	1.0
4.5	3	3	1.0
3.5	1	1	1.0
