Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 20 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
111	79066	1118782	0	ShowTarget	0.00	1
112	79309	1119015	0	head_turned	0.00	0
113	79573	1119268	0	head_stop	0.00	0
114	80366	1120030	0	ShowTarget	0.00	1
115	82538	1122115	0	MoveTarget	0.00	1
116	82552	1122128	0	ShowTarget	0.00	1
117	82803	1122368	0	head_turned	0.00	0
118	83413	1122955	0	head_stop	0.00	0
119	83886	1123408	0	ShowTarget	0.00	1
120	85963	1125402	0	MoveTarget	0.00	1
121	85976	1125415	0	ShowTarget	0.00	1
122	86219	1125648	0	head_turned	0.00	0
123	86587	1126002	0	head_stop	0.00	0
124	87261	1126648	0	ShowTarget	0.00	1
125	89421	1128722	0	MoveTarget	0.00	1
126	89435	1128735	0	ShowTarget	0.00	1
127	89657	1128948	0	head_turned	0.00	0
128	90046	1129322	0	head_stop	0.00	0
129	90595	1129849	0	ShowTarget	0.00	1
130	92769	1131935	0	MoveTarget	0.00	1
131	92782	1131948	0	ShowTarget	0.00	1
132	93018	1132175	0	head_turned	0.00	0
133	93282	1132428	0	head_stop	0.00	0
134	93949	1133068	0	ShowTarget	0.00	1
135	96588	1135601	0	MoveTarget	0.00	1
136	96609	1135621	0	ShowTarget	0.00	1
137	96789	1135795	0	head_turned	0.00	0
138	97373	1136355	0	head_stop	0.00	0
139	97699	1136668	0	ShowTarget	0.00	1
140	99631	1138522	0	MoveTarget	0.00	1
141	99651	1138541	0	ShowTarget	0.00	1
142	99949	1138828	0	head_turned	0.00	0
143	100359	1139221	0	head_stop	0.00	0
144	100825	1139669	0	ShowTarget	0.00	1
145	102651	1141421	0	MoveTarget	0.00	1
146	102665	1141435	0	ShowTarget	0.00	1
147	102977	1141734	0	head_turned	0.00	0
148	103290	1142034	0	head_stop	0.00	0
149	104082	1142795	0	ShowTarget	0.00	1
150	106748	1145355	0	MoveTarget	0.00	1
151	106762	1145368	0	ShowTarget	0.00	1
152	106998	1145595	0	head_turned	0.00	0
153	107297	1145881	0	head_stop	0.00	0
154	108131	1146682	0	ShowTarget	0.00	1
155	110131	1148601	0	MoveTarget	0.00	1
156	110144	1148614	0	ShowTarget	0.00	1
157	110429	1148888	0	head_turned	0.00	0
