Using_curved_screen True Player_screen_cm 90 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 20 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
9	966815	-1	GameMode DynamicAcuity HideFlag False JumpFlag False ShowTargetFlag True HeadIndicatorChange True SkipCenterFlag True HideHeadIndicator False Gain 1 UsingAcuityAfter False UsingAcuityBefore True UsingAcuityWaitTime False AcuitySize 1 UsingAcuityChange False CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 UsingDynamicDelay True DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 0.720 DynaDelayInter 0.080 	
3	152	966953	0	ReSet	0.00	0
4	166	966966	0	ShowTarget	0.00	0
5	1514	968260	0	MoveTarget	0.00	1
6	1527	968273	0	ShowTarget	0.00	1
7	2187	968906	0	head_turned	0.00	0
8	2645	969346	0	head_stop	0.00	0
9	3300	969974	0	ShowTarget	0.00	1
10	5221	971819	0	MoveTarget	0.00	1
11	5235	971833	0	ShowTarget	0.00	1
12	5756	972333	0	head_turned	0.00	0
13	6173	972733	0	head_stop	0.00	0
14	6930	973460	0	ShowTarget	0.00	1
15	9521	975946	0	MoveTarget	0.00	1
16	9535	975959	0	ShowTarget	0.00	1
17	10125	976526	0	head_turned	0.00	0
18	10500	976886	0	head_stop	0.00	0
19	11187	977546	0	ShowTarget	0.00	1
20	13736	979992	0	MoveTarget	0.00	1
21	13750	980006	0	ShowTarget	0.00	1
22	14403	980633	0	head_turned	0.00	0
23	14785	980999	0	head_stop	0.00	0
24	15320	981513	0	ShowTarget	0.00	1
25	18465	984533	0	MoveTarget	0.00	1
26	18479	984546	0	ShowTarget	0.00	1
27	18882	984932	0	head_turned	0.00	0
28	19306	985339	0	head_stop	0.00	0
29	19896	985906	0	ShowTarget	0.00	1
30	22049	987973	0	MoveTarget	0.00	1
31	22063	987986	0	ShowTarget	0.00	1
32	22889	988779	0	head_turned	0.00	0
33	23313	989186	0	head_stop	0.00	0
34	24473	990299	0	ShowTarget	0.00	1
35	26014	991779	0	MoveTarget	0.00	1
36	26028	991793	0	ShowTarget	0.00	1
37	26931	992659	0	head_turned	0.00	0
38	27369	993078	0	head_stop	0.00	0
39	27980	993666	0	ShowTarget	0.00	1
40	30008	995613	0	MoveTarget	0.00	1
41	30029	995633	0	ShowTarget	0.00	1
42	30508	996093	0	head_turned	0.00	0
43	30876	996446	0	head_stop	0.00	0
44	31439	996986	0	ShowTarget	0.00	1
45	33578	999040	0	MoveTarget	0.00	1
46	33592	999053	0	ShowTarget	0.00	1
47	34084	999526	0	head_turned	0.00	0
48	34508	999932	0	head_stop	0.00	0
49	35258	1000652	0	ShowTarget	0.00	1
50	37918	1003206	0	MoveTarget	0.00	1
51	37932	1003219	0	ShowTarget	0.00	1
52	38682	1003939	0	head_turned	0.00	0
53	39175	1004412	0	head_stop	0.00	0
54	39661	1004879	0	ShowTarget	0.00	1
55	41307	1006459	0	MoveTarget	0.00	1
56	41321	1006472	0	ShowTarget	0.00	1
57	42044	1007167	0	head_turned	0.00	0
58	42481	1007586	0	head_stop	0.00	0
59	42988	1008072	0	ShowTarget	0.00	1
60	44884	1009892	0	MoveTarget	0.00	1
61	44897	1009906	0	ShowTarget	0.00	1
62	45314	1010305	0	head_turned	0.00	0
63	45724	1010699	0	head_stop	0.00	0
64	46356	1011305	0	ShowTarget	0.00	1
65	48995	1013839	0	MoveTarget	0.00	1
66	49016	1013859	0	ShowTarget	0.00	1
67	49440	1014266	0	head_turned	0.00	0
68	49912	1014719	0	head_stop	0.00	0
69	50592	1015372	0	ShowTarget	0.00	1
70	52579	1017279	0	MoveTarget	0.00	1
71	52592	1017292	0	ShowTarget	0.00	1
72	53377	1018046	0	head_turned	0.00	0
73	53787	1018439	0	head_stop	0.00	0
74	55072	1019672	0	ShowTarget	0.00	1
75	57329	1021839	0	MoveTarget	0.00	1
