Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 20 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
9	984279	-1	GameMode DynamicAcuity HideFlag False JumpFlag False ShowTargetFlag True HeadIndicatorChange True SkipCenterFlag True HideHeadIndicator False Gain 1 UsingAcuityAfter False UsingAcuityBefore True UsingAcuityWaitTime False AcuitySize 1 UsingAcuityChange False CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 UsingDynamicDelay True DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 0.560 DynaDelayInter 0.080 	
3	388	984644	0	ReSet	0.00	0
4	395	984652	0	ShowTarget	0.00	0
5	1514	985724	0	MoveTarget	0.00	1
6	1527	985737	0	ShowTarget	0.00	1
7	1902	986097	0	head_turned	0.00	0
8	2256	986438	0	head_stop	0.00	0
9	4126	988233	0	ShowTarget	0.00	1
10	6444	990458	0	MoveTarget	0.00	1
11	6457	990471	0	ShowTarget	0.00	1
12	6763	990764	0	head_turned	0.00	0
13	7013	991004	0	head_stop	0.00	0
14	8000	991951	0	ShowTarget	0.00	1
15	10319	994178	0	MoveTarget	0.00	1
16	10333	994191	0	ShowTarget	0.00	1
17	10645	994491	0	head_turned	0.00	0
18	10833	994671	0	head_stop	0.00	0
19	12256	996038	0	ShowTarget	0.00	1
20	14243	997944	0	MoveTarget	0.00	1
21	14257	997958	0	ShowTarget	0.00	1
22	14534	998224	0	head_turned	0.00	0
23	14763	998444	0	head_stop	0.00	0
24	16133	999759	0	ShowTarget	0.00	1
25	18271	1001811	0	MoveTarget	0.00	1
26	18292	1001831	0	ShowTarget	0.00	1
27	18549	1002078	0	head_turned	0.00	0
28	18729	1002251	0	head_stop	0.00	0
29	22091	1005478	0	ShowTarget	0.00	1
30	24349	1007645	0	MoveTarget	0.00	1
31	24361	1007657	0	ShowTarget	0.00	1
32	24611	1007897	0	head_turned	0.00	0
33	24868	1008144	0	head_stop	0.00	0
34	27140	1010324	0	ShowTarget	0.00	1
35	28709	1011831	0	MoveTarget	0.00	1
36	28731	1011851	0	ShowTarget	0.00	1
37	29022	1012131	0	head_turned	0.00	0
38	29272	1012371	0	head_stop	0.00	0
39	30785	1013824	0	ShowTarget	0.00	1
40	33279	1016217	0	MoveTarget	0.00	1
41	33292	1016231	0	ShowTarget	0.00	1
42	33549	1016477	0	head_turned	0.00	0
43	33827	1016744	0	head_stop	0.00	0
44	35042	1017910	0	ShowTarget	0.00	1
45	37161	1019944	0	MoveTarget	0.00	1
46	37175	1019957	0	ShowTarget	0.00	1
47	37501	1020270	0	head_turned	0.00	0
48	37709	1020470	0	head_stop	0.00	0
49	39092	1021797	0	ShowTarget	0.00	1
50	41661	1024264	0	MoveTarget	0.00	1
51	41682	1024284	0	ShowTarget	0.00	1
52	41932	1024524	0	head_turned	0.00	0
53	42321	1024897	0	head_stop	0.00	0
54	43314	1025851	0	ShowTarget	0.00	1
55	45530	1027977	0	MoveTarget	0.00	1
56	45543	1027990	0	ShowTarget	0.00	1
57	45786	1028224	0	head_turned	0.00	0
