Using_curved_screen True Player_screen_cm 90 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 180 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
7	998489	-1	GameMode StaticAcuity HideFlag True JumpFlag False ShowTargetFlag True HeadIndicatorChange False SkipCenterFlag True HideHeadIndicator True Gain 1 UsingAcuityAfter False UsingAcuityBefore False UsingAcuityWaitTime True AcuitySize 8 UsingAcuityChange True CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 UsingDynamicDelay False DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 0.000 DynaDelayInter 0.000 	
3	394	998860	0	ReSet	0.00	0
4	401	998867	0	ShowTarget	0.00	0
5	1923	1000328	0	MoveTarget	0.00	1
6	1943	1000347	0	ShowTarget	0.00	1
7	2158	1000553	0	TargetHided	0.00	1
8	2159	1000554	0	ChangeTargetWaitTime	0.00	1
9	3832	1002161	0	ShowTarget	0.00	1
10	5797	1004047	0	MoveTarget	0.00	1
11	5811	1004061	0	ShowTarget	0.00	1
12	6033	1004273	0	TargetHided	0.00	1
13	6033	1004273	0	ChangeTargetWaitTime	0.00	1
14	7519	1005700	0	ShowTarget	0.00	1
15	8734	1006866	0	MoveTarget	0.00	1
16	8755	1006886	0	ShowTarget	0.00	1
17	8964	1007087	0	TargetHided	0.00	1
18	8964	1007087	0	ChangeTargetWaitTime	0.00	1
19	11375	1009401	0	ShowTarget	0.00	1
20	12936	1010900	0	MoveTarget	0.00	1
21	12950	1010913	0	ShowTarget	0.00	1
22	13172	1011126	0	TargetHided	0.00	1
23	13172	1011126	0	ChangeTargetWaitTime	0.00	1
24	14728	1012620	0	ShowTarget	0.00	1
25	16193	1014026	0	MoveTarget	0.00	1
26	16207	1014040	0	ShowTarget	0.00	1
27	16415	1014240	0	TargetHided	0.00	1
28	16415	1014240	0	ChangeTargetWaitTime	0.00	1
29	17978	1015740	0	ShowTarget	0.00	1
30	19506	1017206	0	MoveTarget	0.00	1
31	19527	1017226	0	ShowTarget	0.00	1
32	19735	1017426	0	TargetHided	0.00	1
33	19735	1017427	0	ChangeTargetWaitTime	0.00	1
34	25305	1022773	0	ShowTarget	0.00	1
35	27201	1024593	0	MoveTarget	0.00	1
36	27214	1024606	0	ShowTarget	0.00	1
37	27423	1024806	0	TargetHided	0.00	1
38	27423	1024806	0	ChangeTargetWaitTime	0.00	1
39	29674	1026968	0	ShowTarget	0.00	1
40	31097	1028333	0	MoveTarget	0.00	1
