Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 180 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 5 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
9	2893637	-1	GameMode DynamicAcuity HideFlag False JumpFlag False ShowTargetFlag True HeadIndicatorChange True SkipCenterFlag True HideHeadIndicator False Gain 1 UsingAcuityAfter False UsingAcuityBefore True UsingAcuityWaitTime False AcuitySize 1 UsingAcuityChange False CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 0.480 DynaDelayInter 0.080 	
3	914	2894506	0	ReSet	0.00	0
4	922	2894513	0	ShowTarget	0.00	0
5	3290	2896787	0	MoveTarget	0.00	1
6	3303	2896799	0	ShowTarget	0.00	1
7	3859	2897333	0	head_stop	0.00	0
8	4944	2898373	0	ShowTarget	0.00	1
9	7727	2901046	0	MoveTarget	0.00	1
10	7741	2901059	0	ShowTarget	0.00	1
11	8311	2901606	0	head_stop	0.00	0
12	9596	2902840	0	ShowTarget	0.00	1
13	11866	2905020	0	MoveTarget	0.00	1
14	11880	2905032	0	ShowTarget	0.00	1
15	12491	2905619	0	head_stop	0.00	0
16	13818	2906892	0	ShowTarget	0.00	1
17	16367	2909339	0	MoveTarget	0.00	1
18	16381	2909353	0	ShowTarget	0.00	1
19	16791	2909747	0	ErrorOccurred	0.00	1
20	18798	2911672	0	ErrorReturn	0.00	1
21	21166	2913946	0	MoveTarget	0.00	1
22	21179	2913959	0	ShowTarget	0.00	1
23	21832	2914586	0	head_stop	0.00	0
24	24298	2916953	0	ShowTarget	0.00	1
25	26784	2919340	0	MoveTarget	0.00	1
26	26805	2919359	0	ShowTarget	0.00	1
27	27562	2920086	0	head_stop	0.00	0
28	28479	2920966	0	ShowTarget	0.00	1
29	31201	2923580	0	MoveTarget	0.00	1
30	31215	2923593	0	ShowTarget	0.00	1
31	31826	2924180	0	head_stop	0.00	0
32	32770	2925085	0	ShowTarget	0.00	1
33	35326	2927539	0	MoveTarget	0.00	1
34	35341	2927553	0	ShowTarget	0.00	1
35	36035	2928219	0	head_stop	0.00	0
36	36918	2929067	0	ShowTarget	0.00	1
37	39431	2931479	0	MoveTarget	0.00	1
38	39452	2931499	0	ShowTarget	0.00	1
39	40000	2932025	0	head_stop	0.00	0
40	41042	2933026	0	ShowTarget	0.00	1
41	43056	2934959	0	MoveTarget	0.00	1
42	43069	2934972	0	ShowTarget	0.00	1
43	44007	2935872	0	head_stop	0.00	0
44	45022	2936846	0	ShowTarget	0.00	1
