GameMode DynamicAcuity HideFlag False JumpFlag False ShowTargetFlag True HeadIndicatorChange True SkipCenterFlag True HideHeadIndicator False Gain 1 UsingAcuityAfter False UsingAcuityBefore True UsingAcuityWaitTime False AcuitySize 1 UsingAcuityChange False CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 UsingDynamicDelay True DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 0.720 DynaDelayInter 0.080 	
563	433426	2697497	1	ShowTarget	30.00	0
564	433648	2697710	1	head_turned	0.00	0
565	434169	2698210	1	head_stop	0.00	0
566	434739	2698757	1	ShowTarget	30.00	0
567	438302	2702177	0	MoveTarget	30.00	1
568	438323	2702197	0	ShowTarget	30.00	1
569	438635	2702497	0	head_turned	0.00	0
570	439371	2703204	0	head_stop	0.00	0
571	439788	2703604	0	ShowTarget	30.00	1
572	442711	2706410	1	MoveTarget	30.00	0
573	442726	2706424	1	ShowTarget	30.00	0
574	443094	2706777	1	head_turned	0.00	0
575	443566	2707230	1	head_stop	0.00	0
576	444212	2707850	1	ShowTarget	30.00	0
577	446052	2709617	0	MoveTarget	30.00	1
578	446066	2709630	0	ShowTarget	30.00	1
579	446538	2710083	0	head_turned	0.00	0
580	447017	2710544	0	head_stop	0.00	0
581	447497	2711004	0	ShowTarget	30.00	1
582	448677	2712137	1	MoveTarget	30.00	0
583	448691	2712150	1	ShowTarget	30.00	0
584	449059	2712504	1	head_turned	0.00	0
585	449823	2713237	1	head_stop	0.00	0
586	450477	2713865	1	ShowTarget	30.00	0
587	452205	2715523	0	MoveTarget	30.00	1
588	452219	2715537	0	ShowTarget	30.00	1
589	452483	2715790	0	head_turned	0.00	0
590	452948	2716237	0	head_stop	0.00	0
591	453650	2716910	0	ShowTarget	30.00	1
592	454712	2717930	1	MoveTarget	30.00	0
593	454733	2717950	1	ShowTarget	30.00	0
594	455115	2718317	1	head_turned	0.00	0
595	455719	2718897	1	head_stop	0.00	0
596	456116	2719277	1	ShowTarget	30.00	0
597	457560	2720663	0	MoveTarget	30.00	1
598	457580	2720683	0	ShowTarget	30.00	1
599	457865	2720957	0	head_turned	0.00	0
600	458330	2721403	0	head_stop	0.00	0
601	459102	2722144	0	ShowTarget	30.00	1
602	460928	2723896	1	MoveTarget	30.00	0
603	460942	2723910	1	ShowTarget	30.00	0
604	461178	2724137	1	head_turned	0.00	0
605	461629	2724570	1	head_stop	0.00	0
606	462220	2725137	1	ShowTarget	30.00	0
607	464032	2726877	0	MoveTarget	30.00	1
608	464053	2726897	0	ShowTarget	30.00	1
609	464359	2727190	0	head_turned	0.00	0
610	464900	2727710	0	head_stop	0.00	0
611	465359	2728151	0	ShowTarget	30.00	1
612	467810	2730503	1	MoveTarget	30.00	0
613	467824	2730517	1	ShowTarget	30.00	0
614	468081	2730763	1	head_turned	0.00	0
615	468567	2731230	1	head_stop	0.00	0
616	469102	2731744	1	ShowTarget	30.00	0
617	471074	2733637	0	MoveTarget	30.00	1
618	471088	2733650	0	ShowTarget	30.00	1
619	471366	2733917	0	head_turned	0.00	0
620	471901	2734430	0	head_stop	0.00	0
