DelayTimeFromStop	Right	Total	Percent
-3.5	4	10	0.4
-2.5	5	7	0.7142857142857143
-5.5	0	1	0.0
-4.5	1	2	0.5
0.5	10	11	0.9090909090909091
-1.5	6	8	0.75
-0.5	7	7	1.0
1.5	9	9	1.0
2.5	9	9	1.0
3.5	10	10	1.0
4.5	8	9	0.8888888888888888
5.5	7	7	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-3.5	1	5	0.2
-5.5	0	1	0.0
-2.5	2	3	0.6666666666666666
-4.5	1	2	0.5
-1.5	1	3	0.3333333333333333
-0.5	4	4	1.0
0.5	6	6	1.0
1.5	4	4	1.0
2.5	3	3	1.0
3.5	5	5	1.0
4.5	4	5	0.8
5.5	4	4	1.0

DelayTimeFromStopRight	Right	Total	Percent
-3.5	3	5	0.6
-2.5	3	4	0.75
0.5	4	5	0.8
-1.5	5	5	1.0
-0.5	3	3	1.0
1.5	5	5	1.0
2.5	6	6	1.0
3.5	5	5	1.0
4.5	4	4	1.0
5.5	3	3	1.0
