DelayTimeFromStop	Right	Total	Percent
-2.5	10	10	1.0
-3.5	3	3	1.0
-1.5	10	11	0.9090909090909091
-0.5	9	9	1.0
0.5	10	10	1.0
1.5	9	9	1.0
2.5	9	9	1.0
3.5	8	8	1.0
16.5	1	1	1.0
15.5	1	1	1.0
4.5	6	6	1.0
5.5	11	12	0.9166666666666666
6.5	1	1	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-2.5	5	5	1.0
-1.5	5	5	1.0
-0.5	5	5	1.0
0.5	5	5	1.0
1.5	4	4	1.0
2.5	4	4	1.0
3.5	4	4	1.0
15.5	1	1	1.0
4.5	2	2	1.0
5.5	7	7	1.0
6.5	1	1	1.0

DelayTimeFromStopRight	Right	Total	Percent
-2.5	5	5	1.0
-3.5	3	3	1.0
-1.5	5	6	0.8333333333333334
0.5	5	5	1.0
-0.5	4	4	1.0
1.5	5	5	1.0
2.5	5	5	1.0
3.5	4	4	1.0
16.5	1	1	1.0
4.5	4	4	1.0
5.5	4	5	0.8
