Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 180 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 5 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
113	68776	0	0	ChangeTargetWaitTime	0.00	1
114	70142	0	0	ShowTarget	0.00	1
115	71377	0	0	MoveTarget	0.00	1
116	71394	0	0	ShowTarget	0.00	1
117	71608	0	0	TargetHided	0.00	1
118	71608	0	0	ChangeTargetWaitTime	0.00	1
119	72941	0	0	ShowTarget	0.00	1
120	74786	0	0	MoveTarget	0.00	1
121	74802	0	0	ShowTarget	0.00	1
122	75016	0	0	TargetHided	0.00	1
123	75017	0	0	ChangeTargetWaitTime	0.00	1
124	76276	0	0	ShowTarget	0.00	1
125	78311	0	0	MoveTarget	0.00	1
126	78327	0	0	ShowTarget	0.00	1
127	78540	0	0	TargetHided	0.00	1
128	78541	0	0	ChangeTargetWaitTime	0.00	1
129	79775	0	0	ShowTarget	0.00	1
130	81143	0	0	MoveTarget	0.00	1
131	81159	0	0	ShowTarget	0.00	1
132	81373	0	0	TargetHided	0.00	1
133	81374	0	0	ChangeTargetWaitTime	0.00	1
134	82674	0	0	ShowTarget	0.00	1
135	84098	0	0	MoveTarget	0.00	1
136	84114	0	0	ShowTarget	0.00	1
137	84329	0	0	TargetHided	0.00	1
138	84330	0	0	ChangeTargetWaitTime	0.00	1
139	85629	0	0	ShowTarget	0.00	1
140	86676	0	0	MoveTarget	0.00	1
141	86692	0	0	ShowTarget	0.00	1
142	86905	0	0	TargetHided	0.00	1
143	86906	0	0	ChangeTargetWaitTime	0.00	1
144	88099	0	0	ShowTarget	0.00	1
145	89318	0	0	MoveTarget	0.00	1
146	89334	0	0	ShowTarget	0.00	1
147	89549	0	0	TargetHided	0.00	1
148	89549	0	0	ChangeTargetWaitTime	0.00	1
149	90808	0	0	ShowTarget	0.00	1
150	91937	0	0	MoveTarget	0.00	1
151	91953	0	0	ShowTarget	0.00	1
152	92167	0	0	TargetHided	0.00	1
153	92167	0	0	ChangeTargetWaitTime	0.00	1
154	93237	0	0	ShowTarget	0.00	1
155	94316	0	0	MoveTarget	0.00	1
156	94332	0	0	ShowTarget	0.00	1
157	94546	0	0	TargetHided	0.00	1
158	94547	0	0	ChangeTargetWaitTime	0.00	1
159	95748	0	0	ShowTarget	0.00	1
160	96860	0	0	MoveTarget	0.00	1
161	96876	0	0	ShowTarget	0.00	1
162	97091	0	0	TargetHided	0.00	1
163	97091	0	0	ChangeTargetWaitTime	0.00	1
164	98145	0	0	ShowTarget	0.00	1
165	100047	0	0	MoveTarget	0.00	1
166	100063	0	0	ShowTarget	0.00	1
167	100277	0	0	TargetHided	0.00	1
168	100277	0	0	ChangeTargetWaitTime	0.00	1
169	101471	0	0	ShowTarget	0.00	1
170	103044	0	0	MoveTarget	0.00	1
171	103059	0	0	ShowTarget	0.00	1
172	103274	0	0	TargetHided	0.00	1
173	103275	0	0	ChangeTargetWaitTime	0.00	1
174	104732	0	0	ShowTarget	0.00	1
175	106165	0	0	MoveTarget	0.00	1
176	106180	0	0	ShowTarget	0.00	1
177	106395	0	0	TargetHided	0.00	1
178	106395	0	0	ChangeTargetWaitTime	0.00	1
179	107564	0	0	ShowTarget	0.00	1
180	109219	0	0	MoveTarget	0.00	1
181	109236	0	0	ShowTarget	0.00	1
182	109449	0	0	TargetHided	0.00	1
183	109449	0	0	ChangeTargetWaitTime	0.00	1
184	110866	0	0	ShowTarget	0.00	1
185	112900	0	0	MoveTarget	0.00	1
186	112916	0	0	ShowTarget	0.00	1
187	113130	0	0	TargetHided	0.00	1
188	113131	0	0	ChangeTargetWaitTime	0.00	1
189	114448	0	0	ShowTarget	0.00	1
190	115823	0	0	MoveTarget	0.00	1
191	115839	0	0	ShowTarget	0.00	1
192	116053	0	0	TargetHided	0.00	1
