x	lowy	mediany	highy
0.0	0.19997420405972371	0.27428176361409384	0.28477017840143587	
0.0007199999999999999	0.20111890331466994	0.27506813589078905	0.28614194883727506	
0.0014399999999999999	0.2022793282277915	0.2758577677104024	0.28752251087384995	
0.0021599999999999996	0.20345564114758047	0.2766506632844271	0.28891186963470894	
0.0028799999999999997	0.20464800444013231	0.2774468267264538	0.2903100292969593	
0.0036	0.20585658042884272	0.2782462620510962	0.2917169930784109	
0.004319999999999999	0.20708153133226015	0.27904897317291555	0.2931327632248093	
0.005039999999999999	0.2083230192000769	0.2798549639053458	0.2945573409971646	
0.0057599999999999995	0.20958120584724224	0.28066423795961765	0.29599072665918247	
0.00648	0.21085625278618367	0.2814767989436826	0.2974329194648061	
0.0072	0.2121483211571222	0.2822926503611375	0.2988839176458732	
0.00792	0.21345757165647125	0.2831117956101486	0.3003437183998984	
0.008639999999999998	0.21478416446330728	0.2839342379823769	0.30181231787798624	
0.009359999999999999	0.21612825916390555	0.2847599806619027	0.3032897111728827	
0.010079999999999999	0.21749001467433296	0.2855890267241521	0.3047758923071727	
0.010799999999999999	0.21886958916109378	0.28642137913482335	0.30627085422163036	
0.011519999999999999	0.22026713995982528	0.28725704074881464	0.30777458876373043	
0.01224	0.2216828234920422	0.2880960143091532	0.3092870866763282	
0.01296	0.22311679517993221	0.28893830244592533	0.31080833758651444	
0.01368	0.2245692093592039	0.2897839076752076	0.3123383299946543	
0.0144	0.22604021918999595	0.290632832398001	0.3138770512636172	
0.015119999999999998	0.22752997656585308	0.2914850788991652	0.3154244876082053	
0.01584	0.22903863202078112	0.292340649346356	0.31698062408478833	
0.01656	0.23056633463439397	0.2931995457889646	0.3185454445811533	
0.017279999999999997	0.2321132319351688	0.29406177015705903	0.3201189318065746	
0.018	0.23367946980182805	0.2949273242603282	0.32170106728211556	
0.018719999999999997	0.2352651923628699	0.2957962097870288	0.32329183133116607	
0.01944	0.2368705418942726	0.29666842830293483	0.3248912030702259	
0.020159999999999997	0.23849565871539957	0.29754398125029036	0.3264991603999411	
0.02088	0.24014068108313702	0.2984228699467655	0.32811567999640046	
0.021599999999999998	0.24180574508429764	0.2993050955844153	0.32974073730270115	
0.02232	0.2434909845263286	0.30019065922864363	0.33137430652078975	
0.023039999999999998	0.24519653082636458	0.3010795618171691	0.3330163606035872	
0.023759999999999996	0.24692251289866995	0.30262236756775884	0.3346668712474056	
0.02448	0.24866905704051917	0.3047906849834903	0.33632580888466335	
0.025199999999999997	0.2504362868165662	0.3069784864793823	0.33799314267690694	
0.02592	0.2522243229417594	0.30918577691284715	0.33966884050814733	
0.026639999999999997	0.25403328316286056	0.3114125566358842	0.34135286897851663	
0.02736	0.2558632821386318	0.3136588214146787	0.34304519339825457	
0.028079999999999997	0.25771443131875726	0.3159245623503041	0.3447457777820306	
0.0288	0.2595868388215711	0.31820976580062216	0.346454584843609	
0.029519999999999998	0.26148060931066675	0.3205144133034781	0.348171575990865	
0.030239999999999996	0.2633958438704672	0.32283848150128747	0.3498967113211571	
0.030959999999999998	0.2653326398808393	0.3251819420671139	0.3516299496170649	
0.03168	0.2672910908908408	0.3275447616323367	0.35337124834249706	
0.0324	0.2692712864916901	0.3299269017160086	0.3551205636391774	
0.03312	0.2712733121890574	0.33232831865600565	0.3568778503235148	
0.033839999999999995	0.2732972492747759	0.3347489635420692	0.3586430618838645	
0.034559999999999994	0.2753431746980772	0.33718878215084336	0.3604161504781852	
0.03528	0.2774111609364618	0.33964771488300943	0.36219706693210024	
0.036	0.27950127586631596	0.34212569670262005	0.3639857607373672	
0.036719999999999996	0.28161358263339237	0.3446226570787354	0.36578218005076246	
0.037439999999999994	0.28374813952327693	0.347138519929464	0.3675862716933862	
0.03816	0.28590499983196627	0.34967320356850895	0.36939798115039335	
0.03888	0.2880842117366859	0.3522266206543224	0.37121725257115534	
0.039599999999999996	0.2902858181670826	0.3547986781419685	0.37304402876985887	
0.040319999999999995	0.2925098566769283	0.35738927723779434	0.37487825122654517	
0.04103999999999999	0.29475635931647726	0.3599983133570076	0.37671986008859537	
0.04176	0.2970253525056208	0.36262567608426016	0.3785687941726659	
0.04248	0.2993168569079888	0.36527124913733194	0.3804249909670792	
0.043199999999999995	0.3016308873061506	0.36793491033401104	0.3822883866346722	
0.043919999999999994	0.30396745247806967	0.3706165315622627	0.38415891601610747	
0.04464	0.3063265550749711	0.3733159787537782	0.3860365126336509	
0.04536	0.3087081915007851	0.37603311186099253	0.3879211086954179	
0.046079999999999996	0.3111123517933291	0.3787677848376576	0.3898126351000925	
0.046799999999999994	0.3135390195073973	0.3815198456230548	0.3917110214421213	
0.04751999999999999	0.3159881715999266	0.38428913612992793	0.3936161960173858	
0.04824	0.3184597783174119	0.3870754922362162	0.39552808582935395	
0.04896	0.32095380308574434	0.3898787437806606	0.3974466165957147	
0.049679999999999995	0.3234702024026488	0.3926987145623579	0.39937171275549554	
0.05039999999999999	0.32600892573289764	0.39553522234432814	0.4013032974766662	
0.05112	0.3285699154064806	0.3983880788611636	0.40324129266422815	
0.05184	0.3311531065199094	0.4012570898308173	0.4051856189687917	
0.052559999999999996	0.3337584268408392	0.4041420549705897	0.40713619579564153	
0.053279999999999994	0.3363857967161859	0.4070427680173661	0.40909294131428975	
0.05399999999999999	0.33903512898392274	0.4099590167521525	0.4110557724685177	
0.05472	0.34348659427439915	0.412890583028954	0.41302460498690624	
0.055439999999999996	0.34452445884016925	0.4149993533938515	0.415837242808035	
0.056159999999999995	0.3471139141442746	0.41697993102106984	0.4187987661935954	
