DelayTimeFromStop	Right	Total	Percent
-2.5	8	9	0.8888888888888888
-1.5	9	9	1.0
-0.5	9	9	1.0
0.5	11	11	1.0
1.5	9	9	1.0
2.5	11	12	0.9166666666666666
12.5	1	1	1.0
4.5	5	5	1.0
3.5	8	8	1.0
23.5	1	1	1.0
18.5	1	1	1.0
20.5	2	2	1.0
5.5	3	3	1.0
6.5	5	5	1.0
7.5	2	2	1.0
21.5	1	1	1.0
22.5	1	1	1.0
24.5	1	1	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-2.5	4	5	0.8
-1.5	4	4	1.0
-0.5	6	6	1.0
0.5	6	6	1.0
1.5	5	5	1.0
2.5	7	8	0.875
12.5	1	1	1.0
4.5	3	3	1.0
3.5	3	3	1.0
20.5	2	2	1.0
5.5	2	2	1.0
6.5	3	3	1.0
21.5	1	1	1.0
24.5	1	1	1.0

DelayTimeFromStopRight	Right	Total	Percent
-2.5	4	4	1.0
-1.5	5	5	1.0
-0.5	3	3	1.0
0.5	5	5	1.0
1.5	4	4	1.0
2.5	4	4	1.0
3.5	5	5	1.0
23.5	1	1	1.0
4.5	2	2	1.0
18.5	1	1	1.0
5.5	1	1	1.0
7.5	2	2	1.0
22.5	1	1	1.0
6.5	2	2	1.0
