DelayTimeFromStop	Right	Total	Percent
-3.5	0	1	0.0
-2.5	3	6	0.5
3.5	4	11	0.36363636363636365
-5.5	1	1	1.0
-1.5	8	13	0.6153846153846154
-0.5	5	14	0.35714285714285715
0.5	1	4	0.25
1.5	5	10	0.5
2.5	3	9	0.3333333333333333
4.5	7	11	0.6363636363636364
5.5	3	7	0.42857142857142855
6.5	2	3	0.6666666666666666

DelayTimeFromStopLeft	Right	Total	Percent
-2.5	3	3	1.0
-1.5	4	8	0.5
-0.5	3	5	0.6
0.5	1	4	0.25
1.5	3	4	0.75
2.5	2	5	0.4
3.5	1	4	0.25
4.5	4	5	0.8
5.5	2	4	0.5

DelayTimeFromStopRight	Right	Total	Percent
-3.5	0	1	0.0
-2.5	0	3	0.0
3.5	3	7	0.42857142857142855
-5.5	1	1	1.0
-1.5	4	5	0.8
-0.5	2	9	0.2222222222222222
1.5	2	6	0.3333333333333333
2.5	1	4	0.25
4.5	3	6	0.5
5.5	1	3	0.3333333333333333
6.5	2	3	0.6666666666666666
