DelayTimeFromStop	Right	Total	Percent
-3.5	2	3	0.6666666666666666
0.5	9	9	1.0
-1.5	7	9	0.7777777777777778
-0.5	8	11	0.7272727272727273
2.5	9	10	0.9
-2.5	6	9	0.6666666666666666
1.5	10	11	0.9090909090909091
3.5	12	12	1.0
12.5	1	1	1.0
6.5	1	1	1.0
4.5	7	7	1.0
24.5	1	1	1.0
13.5	0	1	0.0
5.5	4	4	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-3.5	1	2	0.5
-1.5	4	5	0.8
-2.5	4	6	0.6666666666666666
-0.5	4	5	0.8
0.5	3	3	1.0
1.5	6	6	1.0
2.5	4	4	1.0
3.5	7	7	1.0
12.5	1	1	1.0
24.5	1	1	1.0
13.5	0	1	0.0
4.5	2	2	1.0
5.5	1	1	1.0

DelayTimeFromStopRight	Right	Total	Percent
0.5	6	6	1.0
-0.5	4	6	0.6666666666666666
2.5	5	6	0.8333333333333334
1.5	4	5	0.8
-2.5	2	3	0.6666666666666666
-1.5	3	4	0.75
-3.5	1	1	1.0
3.5	5	5	1.0
6.5	1	1	1.0
4.5	5	5	1.0
5.5	3	3	1.0
