DelayTimeFromStop	Right	Total	Percent
-0.5	11	13	0.8461538461538461
0.5	10	12	0.8333333333333334
-2.5	1	1	1.0
-1.5	2	3	0.6666666666666666
1.5	10	14	0.7142857142857143
2.5	6	6	1.0
3.5	8	8	1.0
4.5	8	9	0.8888888888888888
5.5	10	10	1.0
6.5	6	6	1.0
7.5	6	6	1.0
8.5	2	2	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-2.5	1	1	1.0
-1.5	2	3	0.6666666666666666
-0.5	5	7	0.7142857142857143
0.5	4	5	0.8
1.5	3	5	0.6
2.5	3	3	1.0
3.5	5	5	1.0
4.5	4	4	1.0
5.5	4	4	1.0
6.5	4	4	1.0
7.5	2	2	1.0
8.5	1	1	1.0

DelayTimeFromStopRight	Right	Total	Percent
-0.5	6	6	1.0
0.5	6	7	0.8571428571428571
1.5	7	8	0.875
3.5	3	3	1.0
2.5	3	3	1.0
4.5	4	4	1.0
5.5	6	6	1.0
6.5	2	2	1.0
7.5	4	4	1.0
8.5	1	1	1.0
