0	start	0	26.31
1	0	3057	0	False

2	0	7170	1	True

3	0	10458	2	True

4	0	14325	3	True
5	0	17792	4	True

6	0	21703	5	True

7	0	26170	6	True

8	0	30714	7	True

9	0	35170	8	True

10	0	38570	9	True
11	0	41825	10	False

12	0	45059	11	True
13	0	48414	11	True

14	0	51391	11	True

15	0	54248	11	True
16	0	57836	11	True

17	0	62593	11	True

18	0	66037	11	True

19	0	70292	11	True
20	0	73370	11	True

21	0	76548	11	False

22	0	79639	11	True

23	0	84004	11	True
24	0	87070	11	True

25	0	90781	11	True

